
[04-12-2018 | 21:35:01] Sterg fisierele din cautarile anterioare.
[04-12-2018 | 21:35:06] Incep preluarea datelor de pe Sportvision.
[04-12-2018 | 21:41:00] Preiau date de pe https://www.emag.ro/search/huawei?ref=effective_search.
[04-12-2018 | 21:41:01] Preiau informatiile de pe https://www.emag.ro/telefon-mobil-huawei-mate-20-lite-dual-sim-64gb-4g-black-51092rkr/pd/D373SSBBM/?X-Search-Id=1582fc7f366de168cb35&X-Product-Id=4800221&X-Search-Page=1&X-Search-Position=0&X-Section=search&X-MB=0&X-Search-Action=view.
[04-12-2018 | 21:41:02] Descarc 8 imagini.
[04-12-2018 | 21:41:03] Salvez fisierul HTML.
[04-12-2018 | 21:41:03] Preiau informatiile de pe https://www.emag.ro/telefon-mobil-huawei-p20-lite-dual-sim-64gb-4g-klein-blue-p20-lite-anne-l21-blue/pd/D6V1PFBBM/?X-Search-Id=1582fc7f366de168cb35&X-Product-Id=32640392&X-Search-Page=1&X-Search-Position=1&X-Section=search&X-MB=0&X-Search-Action=view.
[04-12-2018 | 21:41:04] Descarc 6 imagini.
[04-12-2018 | 21:41:05] Preiau informatiile de pe https://www.emag.ro/telefon-mobil-huawei-p20-pro-dual-sim-128gb-4g-twilight-51092ffa/pd/DXB1FFBBM/?X-Search-Id=1582fc7f366de168cb35&X-Product-Id=4459234&X-Search-Page=1&X-Search-Position=2&X-Section=search&X-MB=0&X-Search-Action=view.
[04-12-2018 | 21:41:06] Descarc 6 imagini.
[04-12-2018 | 21:41:06] Salvez fisierul HTML.
[04-12-2018 | 21:41:07] Preiau informatiile de pe https://www.emag.ro/telefon-mobil-huawei-mate-10-pro-dual-sim-128gb-4g-titanium-grey-mate-10-pro-ds-grey/pd/DG1R30BBM/?X-Search-Id=1582fc7f366de168cb35&X-Product-Id=4002218&X-Search-Page=1&X-Search-Position=3&X-Section=search&X-MB=0&X-Search-Action=view.
[04-12-2018 | 21:41:07] Descarc 7 imagini.
[04-12-2018 | 21:41:08] Salvez fisierul HTML.
[04-12-2018 | 21:41:08] Preiau informatiile de pe https://www.emag.ro/telefon-mobil-huawei-p20-lite-dual-sim-64gb-4g-sakura-pink-p20-lite-anne-l21-pink/pd/DP41PFBBM/?X-Search-Id=1582fc7f366de168cb35&X-Product-Id=33564305&X-Search-Page=1&X-Search-Position=4&X-Section=search&X-MB=0&X-Search-Action=view.
[04-12-2018 | 21:41:09] Descarc 6 imagini.
[04-12-2018 | 21:41:10] Preiau informatiile de pe https://www.emag.ro/telefon-mobil-huawei-mate-20-pro-dual-sim-128gb-4g-twilight-51092xar/pd/DC2RY4BBM/?X-Search-Id=1582fc7f366de168cb35&X-Product-Id=4993994&X-Search-Page=1&X-Search-Position=5&X-Section=search&X-MB=0&X-Search-Action=view.
[04-12-2018 | 21:41:10] Descarc 3 imagini.
[04-12-2018 | 21:41:11] Salvez fisierul HTML.
[04-12-2018 | 21:41:11] Preiau informatiile de pe https://www.emag.ro/telefon-mobil-huawei-y7-prime-2018-dual-sim-32gb-4g-black-y7-prime-2018-black/pd/D13PDJBBM/?X-Search-Id=1582fc7f366de168cb35&X-Product-Id=4610796&X-Search-Page=1&X-Search-Position=6&X-Section=search&X-MB=0&X-Search-Action=view.
[04-12-2018 | 21:41:12] Descarc 9 imagini.
[04-12-2018 | 21:41:13] Salvez fisierul HTML.
[04-12-2018 | 21:41:13] Preiau informatiile de pe https://www.emag.ro/telefon-mobil-huawei-mate-20-lite-dual-sim-64gb-4g-platinum-gold-51092rkt/pd/DT73SSBBM/?X-Search-Id=1582fc7f366de168cb35&X-Product-Id=4800222&X-Search-Page=1&X-Search-Position=7&X-Section=search&X-MB=0&X-Search-Action=view.
[04-12-2018 | 21:41:14] Descarc 6 imagini.
[04-12-2018 | 21:41:15] Salvez fisierul HTML.
[04-12-2018 | 21:41:15] Preiau informatiile de pe https://www.emag.ro/telefon-mobil-huawei-mate-20-lite-dual-sim-64gb-4g-sapphire-blue-51092rkp/pd/D773SSBBM/?X-Search-Id=1582fc7f366de168cb35&X-Product-Id=4800223&X-Search-Page=1&X-Search-Position=8&X-Section=search&X-MB=0&X-Search-Action=view.
[04-12-2018 | 21:41:15] Descarc 5 imagini.
[04-12-2018 | 21:41:16] Salvez fisierul HTML.
[04-12-2018 | 21:41:16] Preiau informatiile de pe https://www.emag.ro/telefon-mobil-huawei-p20-lite-dual-sim-64gb-4g-midnight-black-p20-lite-anne-l21-black/pd/D5V1PFBBM/?X-Search-Id=1582fc7f366de168cb35&X-Product-Id=33408056&X-Search-Page=1&X-Search-Position=9&X-Section=search&X-MB=0&X-Search-Action=view.
[04-12-2018 | 21:41:17] Descarc 6 imagini.
[04-12-2018 | 21:41:18] Preiau informatiile de pe https://www.emag.ro/telefon-mobil-huawei-y6-2018-dual-sim-16gb-4g-blue-51092jhr/pd/DHMSMJBBM/?X-Search-Id=1582fc7f366de168cb35&X-Product-Id=4591260&X-Search-Page=1&X-Search-Position=10&X-Section=search&X-MB=0&X-Search-Action=view.
[04-12-2018 | 21:41:18] Descarc 7 imagini.
[04-12-2018 | 21:41:19] Preiau informatiile de pe https://www.emag.ro/telefon-mobil-huawei-p20-pro-dual-sim-128gb-4g-black-51092epd/pd/DHB1FFBBM/?X-Search-Id=1582fc7f366de168cb35&X-Product-Id=4459232&X-Search-Page=1&X-Search-Position=11&X-Section=search&X-MB=0&X-Search-Action=view.
[04-12-2018 | 21:41:20] Descarc 6 imagini.
[04-12-2018 | 21:41:21] Salvez fisierul HTML.
[04-12-2018 | 21:41:21] Preiau informatiile de pe https://www.emag.ro/telefon-mobil-huawei-y5-2018-dual-sim-16gb-4g-blue-y5-2018-blue/pd/DG3PDJBBM/?X-Search-Id=1582fc7f366de168cb35&X-Product-Id=4610801&X-Search-Page=1&X-Search-Position=12&X-Section=search&X-MB=0&X-Search-Action=view.
[04-12-2018 | 21:41:21] Descarc 6 imagini.
[04-12-2018 | 21:41:22] Preiau informatiile de pe https://www.emag.ro/telefon-mobil-huawei-mate-10-lite-dual-sim-64gb-4g-graphite-black-mate-10-lite-ds-black/pd/D61R30BBM/?X-Search-Id=1582fc7f366de168cb35&X-Product-Id=39091717&X-Search-Page=1&X-Search-Position=13&X-Section=search&X-MB=0&X-Search-Action=view.
[04-12-2018 | 21:41:23] Descarc 7 imagini.
[04-12-2018 | 21:41:24] Preiau informatiile de pe https://www.emag.ro/telefon-mobil-huawei-p20-dual-sim-128gb-4g-black-51092ekc/pd/D0B1FFBBM/?X-Search-Id=1582fc7f366de168cb35&X-Product-Id=33564313&X-Search-Page=1&X-Search-Position=14&X-Section=search&X-MB=0&X-Search-Action=view.
[04-12-2018 | 21:41:25] Descarc 5 imagini.
[04-12-2018 | 21:41:26] Preiau informatiile de pe https://www.emag.ro/pachet-promo-telefon-mobil-huawei-mate-20-dual-sim-128gb-twilight-plus-husa-vigafon-silicon-transparent-bt-6426390169976/pd/DG8194BBM/?X-Search-Id=1582fc7f366de168cb35&X-Product-Id=37887499&X-Search-Page=1&X-Search-Position=15&X-Section=search&X-MB=0&X-Search-Action=view.
[04-12-2018 | 21:41:26] Descarc 6 imagini.
[04-12-2018 | 21:41:27] Preiau informatiile de pe https://www.emag.ro/telefon-mobil-huawei-mate-20-pro-dual-sim-128gb-4g-midnight-blue-51092xam/pd/DS2RY4BBM/?X-Search-Id=1582fc7f366de168cb35&X-Product-Id=37548466&X-Search-Page=1&X-Search-Position=16&X-Section=search&X-MB=0&X-Search-Action=view.
[04-12-2018 | 21:41:28] Descarc 3 imagini.
[04-12-2018 | 21:41:28] Preiau informatiile de pe https://www.emag.ro/telefon-mobil-huawei-p9-lite-2017-dual-sim-16gb-4g-gold-p9-lite-2017-gold/pd/DDNW57BBM/?X-Search-Id=1582fc7f366de168cb35&X-Product-Id=1456230&X-Search-Page=1&X-Search-Position=17&X-Section=search&X-MB=0&X-Search-Action=view.
[04-12-2018 | 21:41:29] Descarc 8 imagini.
[04-12-2018 | 21:41:30] Salvez fisierul HTML.
[04-12-2018 | 21:41:30] Preiau informatiile de pe https://www.emag.ro/telefon-mobil-huawei-y6-2018-dual-sim-16gb-4g-gold-51092jhs/pd/D0MSMJBBM/?X-Search-Id=1582fc7f366de168cb35&X-Product-Id=4591259&X-Search-Page=1&X-Search-Position=18&X-Section=search&X-MB=0&X-Search-Action=view.
[04-12-2018 | 21:41:31] Descarc 8 imagini.
[04-12-2018 | 21:41:32] Preiau informatiile de pe https://www.emag.ro/pachet-promo-telefon-mobil-huawei-honor-10-64gb-dual-sim-negru-plus-folie-sticla-vigafon-si-husa-silicon-negru-mat-bt-2866/pd/DV019JBBM/?X-Search-Id=1582fc7f366de168cb35&X-Product-Id=33945670&X-Search-Page=1&X-Search-Position=19&X-Section=search&X-MB=0&X-Search-Action=view.
[04-12-2018 | 21:41:32] Descarc 5 imagini.
[04-12-2018 | 21:41:33] Salvez fisierul HTML.
[04-12-2018 | 21:41:33] Preiau informatiile de pe https://www.emag.ro/telefon-mobil-huawei-p-smart-dual-sim-32gb-4g-black-p-smart-fig-lx1-black/pd/DVTBN9BBM/?X-Search-Id=1582fc7f366de168cb35&X-Product-Id=4214356&X-Search-Page=1&X-Search-Position=20&X-Section=search&X-MB=0&X-Search-Action=view.
[04-12-2018 | 21:41:34] Descarc 9 imagini.
[04-12-2018 | 21:41:35] Salvez fisierul HTML.
[04-12-2018 | 21:41:35] Preiau informatiile de pe https://www.emag.ro/telefon-mobil-huawei-y7-prime-2018-dual-sim-32gb-4g-blue-y7-prime-2018-blue/pd/DR3PDJBBM/?X-Search-Id=1582fc7f366de168cb35&X-Product-Id=4610797&X-Search-Page=1&X-Search-Position=21&X-Section=search&X-MB=0&X-Search-Action=view.
[04-12-2018 | 21:41:36] Descarc 9 imagini.
[04-12-2018 | 21:41:38] Salvez fisierul HTML.
[04-12-2018 | 21:41:38] Preiau informatiile de pe https://www.emag.ro/telefon-mobil-huawei-y5-2018-dual-sim-16gb-4g-black-y5-2018-black/pd/D63PDJBBM/?X-Search-Id=1582fc7f366de168cb35&X-Product-Id=4610799&X-Search-Page=1&X-Search-Position=22&X-Section=search&X-MB=0&X-Search-Action=view.
[04-12-2018 | 21:41:38] Descarc 9 imagini.
[04-12-2018 | 21:41:39] Preiau informatiile de pe https://www.emag.ro/telefon-mobil-huawei-p9-lite-2017-dual-sim-16gb-4g-black-p9-lite-2017-black/pd/D2NW57BBM/?X-Search-Id=1582fc7f366de168cb35&X-Product-Id=27086382&X-Search-Page=1&X-Search-Position=23&X-Section=search&X-MB=0&X-Search-Action=view.
[04-12-2018 | 21:41:40] Descarc 8 imagini.
[04-12-2018 | 21:41:41] Salvez fisierul HTML.
[04-12-2018 | 21:41:41] Preiau informatiile de pe https://www.emag.ro/telefon-mobil-huawei-y6-2018-dual-sim-16gb-4g-black-51092jhq/pd/DPMSMJBBM/?X-Search-Id=1582fc7f366de168cb35&X-Product-Id=4591258&X-Search-Page=1&X-Search-Position=24&X-Section=search&X-MB=0&X-Search-Action=view.
[04-12-2018 | 21:41:42] Descarc 8 imagini.
[04-12-2018 | 21:41:43] Preiau informatiile de pe https://www.emag.ro/telefon-mobil-huawei-p-smart-dual-sim-32gb-4g-blue-p-smart-fig-lx1-blue/pd/DSTBN9BBM/?X-Search-Id=1582fc7f366de168cb35&X-Product-Id=32443166&X-Search-Page=1&X-Search-Position=25&X-Section=search&X-MB=0&X-Search-Action=view.
[04-12-2018 | 21:41:44] Descarc 6 imagini.
[04-12-2018 | 21:41:45] Salvez fisierul HTML.
[04-12-2018 | 21:41:45] Preiau informatiile de pe https://www.emag.ro/telefon-mobil-huawei-p-smart-dual-sim-32gb-4g-gold-p-smart-fig-lx1-gold/pd/DJTBN9BBM/?X-Search-Id=1582fc7f366de168cb35&X-Product-Id=4214354&X-Search-Page=1&X-Search-Position=26&X-Section=search&X-MB=0&X-Search-Action=view.
[04-12-2018 | 21:41:45] Descarc 9 imagini.
[04-12-2018 | 21:41:47] Salvez fisierul HTML.
[04-12-2018 | 21:41:47] Preiau informatiile de pe https://www.emag.ro/telefon-mobil-huawei-mate-10-lite-dual-sim-64gb-4g-prestige-gold-mate-10-lite-ds-gold/pd/D81R30BBM/?X-Search-Id=1582fc7f366de168cb35&X-Product-Id=28625955&X-Search-Page=1&X-Search-Position=27&X-Section=search&X-MB=0&X-Search-Action=view.
[04-12-2018 | 21:41:48] Descarc 7 imagini.
[04-12-2018 | 21:41:49] Preiau informatiile de pe https://www.emag.ro/telefon-mobil-huawei-p20-pro-dual-sim-128gb-4g-blue-51092epc/pd/DPB1FFBBM/?X-Search-Id=1582fc7f366de168cb35&X-Product-Id=4459233&X-Search-Page=1&X-Search-Position=28&X-Section=search&X-MB=0&X-Search-Action=view.
[04-12-2018 | 21:41:50] Descarc 6 imagini.
[04-12-2018 | 21:41:50] Salvez fisierul HTML.
[04-12-2018 | 21:41:50] Preiau informatiile de pe https://www.emag.ro/telefon-mobil-huawei-y7-pro-2018-3gb-ram-dual-sim-32gb-4g-black-y7pro/pd/DBHKFSBBM/?X-Search-Id=1582fc7f366de168cb35&X-Product-Id=35294203&X-Search-Page=1&X-Search-Position=29&X-Section=search&X-MB=0&X-Search-Action=view.
[04-12-2018 | 21:41:51] Descarc 7 imagini.
[04-12-2018 | 21:41:52] Preiau informatiile de pe https://www.emag.ro/telefon-mobil-huawei-p10-dual-sim-64gb-4g-graphite-black-p10-black/pd/D8KW57BBM/?X-Search-Id=1582fc7f366de168cb35&X-Product-Id=17570833&X-Search-Page=1&X-Search-Position=30&X-Section=search&X-MB=0&X-Search-Action=view.
